model,segment,rmse_eur,mae_eur,rmse_log,mae_log,wape_pct,r2_levels,n,mape_nonzero_pct
RF_lags,heading_5804,76402.260263667,5946.618006352885,1.7125494061941964,0.9451722763694583,42.71632481971723,0.6943143134034369,12636,309.5971980994871
RF_lags,heading_5806,107261.33969943125,12483.103072982,1.9228902228526885,1.1176387677944524,32.47831862298573,0.9135301332894937,18954,974.7844146186239
RF_lags,heading_5808,52301.48383377674,7294.612317178777,1.8743915779956088,1.0901108307367684,37.08898082016111,0.8832107892579005,6318,686.5485458623206
RF_lags,heading_5810,179751.97845127023,13862.239362929897,1.874379724270022,1.0606300405193732,32.47291579849804,0.8879006966951685,12636,485.5616964935641
RF_lags,heading_9606,95812.20386826483,6723.357960688229,1.671412357017434,0.9408808130320817,38.74211661711977,0.7408172220007629,15795,319.4415950990178
RF_lags,heading_9607,324178.0807256202,23981.99603139728,1.8701339023625898,1.0451197588765846,29.432794124728968,0.8376673784940925,9477,302.784516060217
RF_lags,excl_5806,169842.63681811004,11077.079556062316,1.783745834336256,1.002399681712168,33.39894633007344,0.8475462097593647,56862,399.5328445170527
RF_lags,brazil,17909.652503551166,941.1285831350649,1.4039910188440978,0.7866789645446919,14.461501926848904,0.9863998908564378,1944,169.88358240921016
RF_lags,not_brazil,158580.35428025105,11704.571141927952,1.8291906806330938,1.037644466092951,33.23325041302321,0.8596256109673284,73872,560.6111910422914
RF_lags,true_zero_flows,1341.8387088916609,48.36731425954233,1.3349382865338821,0.68604603091274,,,54411,
RF_lags,flows_ge_100k,827386.7691355343,270873.35604668455,1.3280597038639215,0.6619436604813952,30.05035341468765,0.8343026400275227,2703,40.9999161151548
RF_lags,flows_lt_100k_nonzero,20486.223427752855,7040.275801077526,2.825174535677551,2.088786846541495,74.01041013456303,-0.23889874684853152,18702,630.6755650369164
RF_lags,year_2023,129165.41051620955,12132.51961440174,1.8686127059164308,1.0454706234201234,36.206222153934355,0.8882727088617434,25272,362.0056548351753
RF_lags,year_2024,212896.433058512,12441.725070634873,1.8282785432222224,1.0404197541870996,34.79377862960157,0.7830426393179479,25272,502.72194713733603
RF_lags,year_2025,107353.73605850035,9711.511620840098,1.7600425943537923,1.007737982090994,28.411330251940996,0.9311122790625428,25272,810.9479320234103
PPML_B,heading_5804,115651.71027194406,16384.52184881358,5.4160007694523635,4.690497016237817,117.69489087107543,0.29956666100360907,12636,22777.99569060364
PPML_B,heading_5806,210758.05870560583,33632.69440958752,5.520474958668916,4.788340296889435,87.5049544009857,0.666153571308508,18954,16967.317587716032
PPML_B,heading_5808,117987.73805279048,21560.104077780103,5.353790150824327,4.684732754358159,109.62094376671806,0.40564153346337106,6318,15307.120572626854
PPML_B,heading_5810,458246.9388893478,50057.001100038164,6.1259214027963695,5.465866996013321,117.26076424518624,0.27145782123339535,12636,28184.778077253897
PPML_B,heading_9606,169078.61789563988,19510.550234497412,5.451664728318288,4.812473281385527,112.42596584455805,0.1928730310529495,15795,30033.819738033675
