feature,mean_abs_shap,direction_corr,block
destination_FI,0.0017773844577817818,-0.5171013599993266,destination (one-hot block)
destination_CY,0.0016970026310798598,-0.3637310624485412,destination (one-hot block)
destination_HU,0.001504827607622924,0.4641574359548841,destination (one-hot block)
destination_RO,0.0011263920629523236,-0.1177297100506067,destination (one-hot block)
exporter_US,0.0011090165328658452,-0.6267438295798888,exporter (one-hot block)
exporter_KH,0.0010668511011826354,0.1210579621222023,exporter (one-hot block)
exporter_AL,0.0010601729400995417,-0.2644375316599698,exporter (one-hot block)
exporter_MG,0.0009591187779618359,0.4423717960030937,exporter (one-hot block)
gdp_o_missing,0.0007770912293447819,-0.2888287890563866,gdp_o_missing
destination_LV,0.0007478279608769693,-0.2605623775176208,destination (one-hot block)
exporter_XS,0.0004732370067362546,-0.3868329277217587,exporter (one-hot block)
exporter_BA,0.00047109731831098187,-0.3265585520552034,exporter (one-hot block)
exporter_PE,7.747988009996608e-05,0.0552133395821059,exporter (one-hot block)
exporter_SM,0.0,,exporter (one-hot block)
destination_DE,0.0,,destination (one-hot block)
destination_MT,0.0,,destination (one-hot block)
