variable,coef,se_cluster_pair,pvalue
const,-28.575649410567266,3.7294438182671548,1.8281098093415753e-14
ln_gdp_o,0.6997478486348363,0.0626329789241084,5.578508446016684e-29
ln_gdp_d,0.8346290232700133,0.08395653883074242,2.7547902434442204e-23
ln_dist,-0.39255816872196797,0.1529222972674606,0.010256978390289098
contig,1.1546984300844303,0.730010665725244,0.11370538343503753
comlang_off,0.535656515310248,0.5430643971505288,0.3239569230898436
comcol,-1.4024502266285566,0.4115680955496512,0.0006554226701713515
rta,-0.7008064813790965,0.2226432845204593,0.0016458017261360696
