variable,ppml_coef,ppml_p,ml_perm_importance,ml_mean_abs_shap,ml_shap_direction
ln_gdp_o,0.6997478486348402,5.57850844595388e-29,0.029166300984001154,0.3283877914162102,
ln_gdp_d,0.8346290232700126,2.754790243219575e-23,0.008237635518152412,0.24568295158654183,0.07095821725993741
ln_dist,-0.3925581687219651,0.0102569783902235,0.0029907272508737184,0.13533555894705251,0.17824230941181693
contig,1.1546984300844427,0.1137053834349904,2.1191515641653485e-05,0.013608157732351179,
comlang_off,0.535656515310254,0.3239569230898466,0.0001800763984309469,0.023863826047984957,
comcol,-1.4024502266285674,0.0006554226701635,-5.740501907025575e-05,0.0030347872468088656,
rta,-0.7008064813790786,0.0016458017261374,2.3286315175415535e-05,0.0212229578857844,
