model,exporter,group,observed_eur,predicted_eur,deviation_eur,relative_deviation_pct
PPML_B,US,other,81887404.0,94208682.3573935,-12321278.357393503,-13.078707873920846
PPML_B,VN,other,60371714.0,37186180.08064657,23185533.919353433,62.34986726001543
PPML_B,XS,similar,4827590.0,5907486.913724283,-1079896.9137242828,-18.280140599473263
PPML_B,ZA,other,1898316.0,3275500.9171709814,-1377184.9171709814,-42.04501699118567
RF_hyb_lags,AL,other,918688.0,183079.20404989694,735608.7959501031,401.7981177969389
RF_hyb_lags,BA,similar,7729595.0,3572077.3436028594,4157517.6563971406,116.3893515307761
RF_hyb_lags,BR,BR,12651203.0,10409429.774734577,2241773.225265423,21.535984907709167
RF_hyb_lags,BY,other,915250.0,122732.04317371086,792517.9568262892,645.7302724966336
RF_hyb_lags,CA,other,3265307.0,786417.9319412551,2478889.068058745,315.2126836604123
RF_hyb_lags,CH,other,309701015.0,268705651.2045884,40995363.79541159,15.256606480597737
RF_hyb_lags,CN,other,1081450467.0,1034560980.9052215,46889486.09477854,4.532307612621453
RF_hyb_lags,EC,similar,4456186.0,3491291.9845838463,964894.0154161537,27.637161820802756
RF_hyb_lags,EG,similar,3967874.0,2752993.0288402895,1214880.9711597105,44.129460497453
RF_hyb_lags,GB,other,112771460.0,81189852.72614427,31581607.27385573,38.89846601936994
RF_hyb_lags,HK,other,23014283.0,15677472.745933123,7336810.254066877,46.79842454817925
RF_hyb_lags,ID,other,28478776.0,26338268.07969156,2140507.920308441,8.12698812933302
RF_hyb_lags,IL,other,2373533.0,856603.8650391084,1516929.1349608917,177.0864219590739
RF_hyb_lags,IN,other,245921308.0,202146211.63095516,43775096.36904484,21.65516534584487
RF_hyb_lags,JP,other,78578559.0,83522717.41106954,-4944158.411069542,-5.919537299937366
RF_hyb_lags,KH,other,1130331.0,316582.67832667305,813748.3216733269,257.0413283425577
RF_hyb_lags,KR,similar,10224806.0,6431414.17068183,3793391.8293181704,58.98223514527618
RF_hyb_lags,LK,other,3100047.0,1645333.206624232,1454713.793375768,88.41454044195935
RF_hyb_lags,MA,other,41014474.0,23518085.07602857,17496388.92397143,74.39546573375179
RF_hyb_lags,MG,similar,5785041.0,3707535.968545563,2077505.031454437,56.03465614574808
RF_hyb_lags,MK,similar,4233922.0,1351371.8286693464,2882550.1713306536,213.30548041459548
RF_hyb_lags,MM,similar,6066897.0,4190477.383955727,1876419.6160442731,44.778182629707224
RF_hyb_lags,MX,other,2458058.0,567073.7895630478,1890984.2104369523,333.46351837104453
RF_hyb_lags,MY,other,1609341.0,1132820.8419339473,476520.1580660527,42.06491798407764
RF_hyb_lags,NO,other,1913729.0,811634.2663442877,1102094.7336557123,135.78711241698784
RF_hyb_lags,PE,other,1523855.0,593630.1003844158,930224.8996155842,156.70110040127688
RF_hyb_lags,PH,similar,15057684.0,7631367.02923293,7426316.97076707,97.31306255248386
RF_hyb_lags,PK,similar,13623061.0,7363073.425771101,6259987.574228899,85.01867647168434
RF_hyb_lags,SG,other,842510.0,371809.9606207945,470700.0393792055,126.59694177996163
RF_hyb_lags,SM,other,3963446.0,1333882.7759413617,2629563.2240586383,197.1360056136024
RF_hyb_lags,TH,other,45369145.0,24726883.091196314,20642261.908803686,83.48105110001954
RF_hyb_lags,TN,other,24993664.0,19620208.603445686,5373455.396554314,27.387350996923814
RF_hyb_lags,TR,other,261976548.0,254311082.32161003,7665465.6783899665,3.01420827138629
RF_hyb_lags,TW,other,102578311.0,104770185.6697951,-2191874.669795096,-2.092078634568084
RF_hyb_lags,UA,other,1739711.0,868493.0550583086,871217.9449416914,100.31374918515608
RF_hyb_lags,US,other,81887404.0,70614594.2640024,11272809.735997602,15.963852590942674
RF_hyb_lags,VN,other,60371714.0,40964777.90236416,19406936.097635843,47.374688919077066
RF_hyb_lags,XS,similar,4827590.0,1770350.0388786504,3057239.9611213496,172.69126974786423
RF_hyb_lags,ZA,other,1898316.0,867415.9795016838,1030900.0204983162,118.84724801709915
